numero;votos_nominais;situacao;nome;nome_urna;sexo;data_nasc;destino_voto;numero_partido
27123;19;Nao eleito;NILO DE SOUZA NETO;NILO DO SALU;M;21/09/1962;Valido;27
27333;18;Nao eleito;ALCENIR KUSTER;ALCENIR KUSTER;M;15/06/1980;Valido;27
27000;20;Nao eleito;MANASSES INACIO DA SILVA;MANASSES INACIO;M;28/04/1985;Valido;27
23333;181;Suplente;GEUCILENE BUGE ROMAES;GEUCI;F;15/02/1986;Valido;23
23999;390;Eleito;JUNIELTON ALVES RODRIGUES;JUNINHO TATA;M;27/10/1983;Valido;23
23789;6;Suplente;JOSEFANIA LOPES NASCIMENTO;JOSY;F;16/07/1979;Valido;23
23610;309;Suplente;LUIZ CARLOS DE SOUZA;FIZIQUINHO;M;01/04/1961;Valido;23
23111;336;Suplente;JUCIMARIO DE OLIVEIRA LANGAME;BILEU;M;23/11/1985;Valido;23
23555;2;Suplente;ROBERTA DE ASSIS VERMEULEN;ROBERTA DO RAMIRO;F;13/02/1978;Valido;23
23222;13;Suplente;ADEMAR TEIXEIRA FILHO;MARRECO;M;15/10/1965;Valido;23
23650;24;Suplente;ISADORA MARQUES VERDAN;ISADORA VERDAN;F;20/05/1999;Valido;23
23123;75;Suplente;CLAUDIO NASS;CLAUDIO NASS;M;13/10/1972;Valido;23
23000;76;Suplente;VALDEIR COELHO;VALDEIR COELHO;M;01/03/1968;Valido;23
23564;13;Suplente;ROANNITO PINA DE SOUZA;ROANITO JOGADOR;M;03/03/1968;Valido;23
23500;21;Suplente;LEONIDIO SCHWANZ;LEAO DA AMBULÑNCIA;M;24/05/1970;Valido;23
55555;103;Nao eleito;JAMIRO CARLOS BULLERJAHN;JAMIRO;M;25/03/1968;Valido;55
55678;50;Nao eleito;JOSê CARLOS SCARDINI;Zê GALO;M;25/09/1956;Valido;55
55222;42;Nao eleito;JOAO DANIZETTE DA SILVA;JOAO DANIZETE;M;25/10/1966;Valido;55
55789;65;Nao eleito;ELDER MELQUIADES DA SILVA;ELDER MELQUIADES;M;17/11/1985;Valido;55
55123;36;Nao eleito;êDIO CUSTODIO DE SOUZA;êDIO CUSTODIO;M;25/01/1975;Valido;55
55345;11;Nao eleito;SEBASTIAO CARLOS GOMES;TIAO Pê SECO;M;18/02/1973;Valido;55
55456;15;Nao eleito;CRYSTIANY DAVID GOMES SILVA;CRISTIANE DAVID;F;13/06/1974;Valido;55
55000;2;Nao eleito;SIMONE FERREIRA DOS SANTOS;SIMONE FERREIRA;F;19/02/1989;Valido;55
55333;1;Nao eleito;MARILINDA DE OLIVEIRA STRELHOW SILVA;MARILINDA;F;05/12/1984;Valido;55
55111;2;Nao eleito;DARIO CêSAR DE OLIVEIRA;CêSAR;M;31/03/1965;Valido;55
12126;52;Suplente;CARLOTA CEZARIO DA SIVA;CARLOTA DO TESTINHA;F;27/04/1968;Valido;12
12313;153;Suplente;MONICA BARBOSA DE OLIVEIRA;MONICA BARBOSA;F;22/10/1984;Valido;12
12456;98;Suplente;JAIRO LOPES DA SILVA FELIX;JAIRINHO LOPES;M;11/02/1991;Valido;12
12777;270;Eleito;NOEME MENDES DE OLIVEIRA;;;17/07/1980;Valido;12
12111;358;Eleito;OTNIEL CARLOS DE OLIVEIRA;OTNIEL;M;11/07/1958;Valido;12
12123;70;Suplente;SILVANA MARIA DE JESUS DAMASO;SILVANA;F;25/01/1976;Valido;12
12345;228;Suplente;FERNANDO ANTONIO OLIOSI;FERNANDO OLIOSI;M;22/08/1958;Valido;12
12555;21;Suplente;LUCAS MAAS;LUCAS MAAS;M;24/07/1994;Valido;12
12333;602;Eleito;GUMERCINDO MACEDO GONÄALVES JUNIOR;JUNINHO;M;17/05/1974;Valido;12
12222;140;Suplente;ROBERTO JOSê FERREIRA;GILBERTINHO DA OBRA;M;24/07/1981;Valido;12
12233;77;Suplente;VANDECI HENKE;VANDECI HENKE;M;13/08/1971;Valido;12
12000;129;Suplente;JOSê APARECIDO CAMPEIRO DA SILVA;Zê LAGINHA;M;12/10/1969;Valido;12
40999;11;Suplente;OLIRIO QUEIROZ CESAR;OLIRIO;M;07/09/1952;Valido;40
40123;101;Suplente;ADELSON GOMES PIMENTEL;JUNINHO PIMENTEL;M;08/10/1982;Valido;40
40789;8;Suplente;ARNOBIO DA SILVA;ARNOBIO JA ê;M;16/03/1957;Valido;40
40000;234;Suplente;VALDECI BASTO PEREIRA;NENEGO;M;07/12/1979;Valido;40
40111;445;Eleito;NAIR LOOSE;NAIR LOOSE EGGERT;F;05/04/1963;Valido;40
40678;18;Suplente;ODINêIA DOS SANTOS;NêIA;F;22/08/1977;Valido;40
40222;40;Suplente;ADAO VIEIRA DE SOUZA FILHO;ADAO DA SERRALHERIA;M;25/10/1981;Valido;40
40400;16;Suplente;NEUZA COELHO DA VITORIA;NEUZA COELHO DA VITORIA;F;11/03/1953;Valido;40
40022;7;Suplente;EDIANE RODRIGUES COSTA DE ALMEIDA;DIANA;F;02/07/1977;Valido;40
40456;15;Suplente;AVELINO DOS SANTOS CUNHA;AVELINO CUNHA;M;06/10/1965;Valido;40
40444;43;Suplente;JOSê MEIRELES;ZEQUINHA DESPACHANTE;M;28/08/1965;Valido;40
40188;58;Suplente;GILBERTO GERALDO SANTANA;GILBERTIN DA AMBULÑNCIA;M;18/08/1959;Valido;40
40321;26;Suplente;FABIANA GARCIA VIEIRA;FABIANA DO PEDRINHO;F;13/11/1978;Valido;40
40555;78;Suplente;GERALDO RAASCH;GERALDO RAASCH;M;04/10/1961;Valido;40
33126;8;Suplente;GILMAR DA SILVA;GILMAR DA SILVA (ABENÄOADO);M;15/08/1959;Valido;33
33110;121;Suplente;ADELCIO BENTO COFFLER;ADELCIO BENTO COFFLER;M;21/03/1952;Valido;33
33555;18;Suplente;PAULO MARCOS CASSIMIRO;PAULINHO;M;07/01/1981;Valido;33
33133;113;Suplente;EUZILANE FERREIRA DE LIMA MUNIZ;EUZILANE MUNIZ;F;30/06/1979;Valido;33
33222;10;Suplente;MARIA APARECIDA RODRIGUES OLIVEIRA REIS;MARIA OLIVEIRA;F;18/08/1974;Valido;33
33033;23;Suplente;MOISES AVELINO ALVES;MOISES DO GAMBA;M;14/02/1975;Valido;33
33000;328;Eleito;RODRIGO ENTRINGER ROQUE;RODRIGO ENTRINGER;M;26/10/1972;Valido;33
33800;64;Suplente;ALESSANDRA CARNEIRO ALVES;ALESSANDRA PROTEGENDO PATINHAS;F;02/08/1989;Valido;33
33888;27;Suplente;SILVANO BOTELHO SUAVE;SILVANO;M;15/07/1976;Valido;33
33500;12;Suplente;ANGELA MARIA RAMER;ANGELA RAMER;F;12/10/1981;Valido;33
33333;69;Suplente;EDGARD MACHADO;EDGARD MACHADO;M;03/11/1970;Valido;33
33111;16;Suplente;JAIME JOSE NETO;JAIME DA PISCINA;M;18/11/1960;Valido;33
33456;96;Suplente;DIOMAR MARTINS DE SOUZA;DIDI;M;12/09/1989;Valido;33
45123;7;Nao eleito;MANOEL VALENTIM RONCHETTI;MANOEL POLICIAL;M;11/05/1963;Valido;45
45678;46;Nao eleito;ADELMA OLIVEIRA PEIXOTO;ADELMA PEIXOTO;F;08/03/1967;Valido;45
45111;11;Nao eleito;LUZIA BRAGANÄA FERRARI;LUZIA BRAGANÄA;F;03/12/1955;Valido;45
45634;45;Nao eleito;ALBERTO WANDERLEI RAMOS;BETO WANDERLEI;M;18/12/1955;Valido;45
45000;218;Nao eleito;FRANCISCO HONORIO DE ASSIS NETO;CHICO HONORIO;M;30/07/1963;Valido;45
45777;20;Nao eleito;PAULO SêRGIO DA SILVA;PAULINHO FISICO;M;01/05/1970;Valido;45
51012;349;Eleito;ROBSON LUIZ SCHUAITH;ROBINHO SCHUATZ;M;09/08/1970;Valido;51
51369;67;Suplente;ANDREIA DIAS DOS SANTOS;ANDRêIA PROFESSORA;F;19/05/1984;Valido;51
51456;42;Suplente;LUIZ GERALDO SOUZA SOARES;LUIZ GERALDO;M;04/02/1985;Valido;51
51789;193;Suplente;TIAGO CRISPIM DA COSTA;TIAGO JUVENTIDE VILA VERDE;M;06/08/1982;Valido;51
51333;6;Suplente;MARLENE MARGARIDA SCHUMACHER;MARLENE SCHUMACHER;F;12/01/1959;Valido;51
51105;96;Suplente;ANTONIO AILTON SAMPAIO;ITO SAMPAIO;M;26/01/1963;Valido;51
51258;23;Suplente;MARLI DE LAIA SILVA INACIO;MARLI INACIO;F;23/08/1989;Valido;51
51236;13;Suplente;EMERSON MARCELO DE FARIA;MARCELO DO CATINHA;M;16/03/1972;Valido;51
51222;161;Suplente;GESSINO CANDIDO DOS REIS;GESSINO REIS;M;29/08/1978;Valido;51
51123;5;Suplente;JOSê SANTOS LIMA;Zê DO PAO;M;05/01/1969;Valido;51
51000;34;Suplente;SOLANGE CORREIA DA SILVA MAXIMO;SOLANGE MAXIMO;F;08/11/1971;Valido;51
51111;112;Suplente;ERVIN SCHMIDT GRULKE;VINO GRULKE;M;03/12/1956;Valido;51
51555;266;Suplente;JOSELITO LOURENÄO DA SILVA;JOSELITO;M;12/04/1963;Valido;51
10111;62;Suplente;LOUDANA EMERICK KNUPP;LOUDANA EMERICK;F;09/02/1997;Valido;10
10000;96;Suplente;ADALTO PEREIRA DA COSTA;ADALTO COSTA;M;27/03/1970;Valido;10
10190;255;Suplente;UERLI BARROS DE ARAUJO;HELINHO POLICIAL;M;16/11/1976;Valido;10
10123;87;Suplente;TIAGO VICTOR RIBEIRO DE SOUZA;TIAGO DO DIVINO;M;20/01/1986;Valido;10
10333;9;Suplente;FABIO RIVA;FABIO RIVA;M;18/08/1973;Valido;10
10888;27;Suplente;MARCOS ANTONIO SIQUEIRA DA MOTTA;MARCOS MOTTA;M;23/05/1996;Valido;10
10789;9;Suplente;PAULA ROQUE RODRIGUES;PAULINHA;F;05/11/1983;Valido;10
10999;343;Eleito;JOSê LUCIO MARTINS DUTRA;JOSê LUCIO;M;18/01/1977;Valido;10
10555;0;Suplente;CELIA FERNANDES GONÄALVES KLABUNDE;CELIA FERNANDES;F;06/08/1976;Valido;10
19444;90;Suplente;JOSê LUIZ MAPELI;Zê LUIZ MAPELI;M;14/08/1968;Valido;19
19555;285;Suplente;WEMERSON BARBOSA DA COSTA;WEMERSON DO PARAO;M;24/06/1980;Valido;19
19123;514;Eleito;ANDERSON COUTO;PERA;M;31/05/1977;Valido;19
19012;71;Suplente;JEANE DE BARROS SANTOS;JEANE BARROS;F;22/01/1978;Valido;19
19333;14;Suplente;ROSEMAYRE GOMES;ROSA;F;16/05/1976;Valido;19
19125;11;Suplente;RENILDA GOMES ROBERTO NEVES;RENILDA GOMES;F;16/06/1962;Valido;19
19608;287;Eleito;LEILSO MARCOS DA SILVA;LEILSO SCHUMACHER;M;18/01/1983;Valido;19
19277;4;Suplente;JULIANI GONÄALVES BORBA;JULINHA;F;03/01/1980;Valido;19
19222;488;Eleito;MARCIO MARQUES DOS REIS;MARCIO BERALDO;M;03/10/1973;Valido;19
19000;111;Suplente;RUI LANES ALEIXO;RUI DA ELETRôNICA;M;04/01/1971;Valido;19
19789;79;Suplente;MARCIO CARREIRO FERNANDES;MARCIO CARREIRO;M;12/05/1986;Valido;19
19777;59;Suplente;CLAUDIONES RODRIGUES NUNES;DIONES RIVER;M;30/05/1979;Valido;19
19111;249;Suplente;CLEBER RIBEIRO DINIZ;CLEBER RIBEIRO;M;16/09/1967;Valido;19